“Gifzones”… NOS is weer lekker polariserend bezig. Boeren en burgers worden zo tegen elkaar opgezet. En dan een foto ook met koeien in een weiland. Heeft niks met gewasbeschermingsmiddelen te maken. https://t.co/RTkhvS3EDw,0
"De PVV saboteerde vandaag hun eigen asielwet en bracht ‘m naar de schroothoop. Dat is lelijke politiek, maar tegelijk zie ik kansen. Om nu met betere oplossingen te komen en daarmee snel meer grip op migratie te pakken. Aan het werk!

Ik vertelde erover bij ⁦@pauwendewit⁩ https://t.co/LctCfrsvjW",0
"Europa warmt sneller op dan welk continent ook. Met extreme hitte, droogte en natuurbranden als gevolg.

Het positieve: we kunnen veel sneller de omslag maken naar groene energie van eigen bodem. Goed voor het klimaat én voor onze onafhankelijkheid.

Juist daarom is het onbegrijpelijk dat FvD en PVV zo verslaafd blijven aan fossiele import uit Rusland en het Midden-Oosten. D66 kiest wél voor vooruitgang en een schone toekomst.",0
"Voor 49 euro onbeperkt reizen in de daluren met trein. Dat is wat PRO wil regelen voor jou. 

Het leven is al duur genoeg en de energiecrisis maakt vervoer nog duurder. Tijd voor plannen die gewone mensen echt helpen. Dat is onze inzet in het debat.

https://t.co/DfTMHJryiL",1
"Het gaat niet lekker met kabinet Jetten. De ene zeperd na de andere. Deze week sneuvelde al de Asielnoodmaatregelenwet.

En het steunpakket bij hoge energiekosten? Een zogenaamd “verduurzamingspakket” dat op korte termijn niets oplost en niets doet voor portemonnee van de burger. https://t.co/m4bDfVw53a",0
Onbegrijpelijk dat de Tweede Kamer in meerderheid Israël sancties wil opleggen. Israël verdient alle steun in haar strijd om veiligheid voor haar inwoners! https://t.co/uLmRdvAg6d,0
"Onacceptabel. Het zoveelste voorbeeld van de talloze misdaden die Israël pleegt tegen Palestijnen. 

Er moeten eindelijk harde sancties komen tegen de genocidestaat Israël en tegen alle leden van de regering van misdadiger Netanyahu.  https://t.co/TY75kfAPKI",0
"Beschamend: de pro-Palestina beweging kan zelfs het fatsoen niet opbrengen om een debat in de Tweede Kamer over het Midden-Oosten fatsoenlijk te laten verlopen. 

De hele publieke tribune leeggemaakt. Jammer voor de mensen die het debat wel op normale wijze willen bijwonen.",0
Schokkende beelden van een mislukte aanslag op het diner in Washington met president Trump en honderden journalisten. Een avond die vrijheid van meningsuiting moet markeren wordt juist met geweld platgelegd. https://t.co/F73kM5rRqP,0
"Het is niet meer uit te leggen dat statushouders voorrang krijgen op sociale huurwoningen, terwijl Nederlandse jongeren soms jarenlang moeten wachten.

Daarom dien ik vandaag samen met @Rene_Claassen71 en @R_Clemminck het wetsvoorstel in om die voorrang te schrappen.👇🏻

https://t.co/fDEOzrw3WF",0
"Onnavolgbaar. Partijen die zeggen streng asielbeleid te willen, maar tegenstemmen als het erop aankomt.

Dit was hét moment om beide strenge asielwetten aan te nemen. De Eerste Kamer heeft helaas de wet weggestemd die o.a. strafbaarstelling illegaliteit regelt. PVV frustreert, D66 stemt tegen.

In het landsbelang moet alle inzet erop gericht zijn hier alsnog snel op te leveren. En laat dit opnieuw het bewijs zijn dat de PVV strenger asielbeleid dus nooit écht wil regelen.",0
Sterkte en succes aan allen die keihard werken om de brand bij ‘t Harde #ASK te blussen. 💪 https://t.co/W3KJCkUb87,1
"Vandaag sprak ik voor het eerst als minister-president in de Tweede Kamer. Daar benadrukte ik het belang van samenwerking: samenwerking is de beste manier om resultaten te boeken die goed zijn voor heel Nederland. Ook voor mensen die niet op een van de coalitiepartijen hebben gestemd. Met oog voor diepgewortelde opvattingen van andere partijen. Omdat democratie meer moet zijn dan de helft plus één. Zo willen we werken. 

Waarbij we gebruik maken van de kracht van de samenleving. Er zit zoveel energie en betrokkenheid in mensen zelf. Want ik zie elke dag hoeveel energie, betrokkenheid en ideeën er zijn. Politiek moet die kracht niet blokkeren, maar mogelijk maken. Om te werken aan oplossingen die verschil maken in het dagelijks leven van mensen.

Lees hier de hele regeringsverklaring: https://t.co/HzeZlSHd0v",1
“Dat de demonstraties deels gekaapt zijn en worden aangewakkerd door extreemrechtse activisten doet niets af aan de terechte boosheid van de Loosdrechters.” https://t.co/1Cy6COIx91,0
"Geef Wilders maar altijd de schuld van alles, maar fracties stemmen toch altijd vóór of tegen moties, amendementen, novelles en wetten langs lijnen van de eigen partijlijn? 

De partij met de zwalkende partijlijn is hier D66. https://t.co/6NI7SDIr7h",0
"In de bestuurderskamers van Nederland wordt opgelucht adem gehaald. Maar zien ze niet hoe dit het vertrouwen schaadt? Wetten die gelden voor iedereen, behalve voor henzelf?

Er zijn andere oplossingen dan steeds meer AZC’s doordrukken bij burgers die er terecht klaar mee zijn.👇🏻

https://t.co/VpB1VFXKtB",0
Misschien als MP toch maar het KB voor Staatsnoodrecht slaan? https://t.co/NP30VAGlnz,0
"Schokkende gebeurtenis in Washington. Blij dat president Trump en andere aanwezigen op het Correspondents’ Dinner van het Witte Huis, ongedeerd zijn gebleven. 

In een democratie is geweld nooit de oplossing, verschil van mening los je op met woorden.",1
Zojuist uiteraard op een van onze geweldige DENK-kandidaten in Rotterdam gestemd. Op naar een mooi resultaat! https://t.co/mcXQWdtAgb,1
Een mooie maand vol gesprekken met de dappere vrouwen en mannen van Defensie die zich inzetten voor onze vrijheid en veiligheid. Ook langsgegaan bij de altijd gezellige VVD-leden en natuurlijk op bezoek bij onze koning! Hoe was jouw april? https://t.co/FS6lOFOiAH,1
"Op bezoek bij collega Marjolein @pvvfaber en Thirza, haar prachtige nieuwe paard!

🐎 ❤️ 🐎 https://t.co/q973HNapp2",1
"Maak energie betaalbaar.

We kunnen het echt anders doen.
We kunnen echt onafhankelijk worden
We kunnen echt loskomen van dit stelsel. 

Los van andere landen.
Los van oligarchen.
Los van de markt.
Los van multinationals.

Eigen energie: in eigen land en in eigen hand. https://t.co/zTCViUiirv",1
"Terugkijken: het inleidend statement van viceminister-president Yeşilgöz-Zegerius tijdens de wekelijkse persconferentie na de #ministerraad. Met onder meer aandacht voor de situatie in het Midden-Oosten en de impact die het heeft op de energieprijzen, voor het verder bouwen aan een toekomstgerichte krijgsmacht en voor de aanpak van fatbikes om te zorgen voor meer veiligheid en minder overlast.",1
"Wat goed dat @sybrandbuma de nieuwe vice-voorzitter van de Raad van State wordt. Een belangrijke rol: de Raad van State toetst wetten en geeft advies aan de regering. 

Van harte gefeliciteerd Sybrand en houd ons scherp! 👊 https://t.co/F74YZTXDSE",1
Geweldig! 🧡🧡🧡 https://t.co/knaMBrWFfq,1
"Door de rekening bij gewone mensen te leggen terwijl de allerrijksten worden ontzien, rijdt Jetten af op een muur.  

Vandaag debatteert het minderheidskabinet met de Eerste Kamer over het regeerakkoord. Ook daar zal blijken: een fundamentele koerswijziging is nodig.",0
"De zorg moet niet asocialer, maar juist socialer. 

Heel slecht idee om het eigen risico te verhogen. Dit maakt zorg voor gewone mensen duurder en oneerlijker. 

Dit kan echt anders. Het kabinet rijdt op een muur af.

https://t.co/89wS2YlPXC",0
Voor geen van deze zorgbezuinigingen is een kamermeerderheid. Waarom dan allemaal alvast opnemen in de #voorjaarsnota? https://t.co/MNKy66DbFh,0
"Dit pakket is onvoldoende, zo help je gewone mensen de crisis niet door.

Belast de dikke winsten van oliebedrijven. Gebruik dat geld om gewone mensen wél echt te helpen.

PRO komt in de Tweede Kamer daarom met voorstellen om reizen met trein, bus en auto betaalbaarder te maken. https://t.co/dglLPYkEEV",0
"1 mei: Dag van de Arbeid!

Een dag vol trots.
Op onze werkende klasse.
Op onze sociale verworvenheden.
Op onze vooruitgang.

Een dag vol strijd.
Tegen langer doorwerken.
Tegen de afbraak van de WW en WIA.
Tegen bezuinigingen op de zorg. 

Voor meer waardering, zekerheid en zeggenschap.
Voor al die mensen die ons land draaiende houden.
Voor een betaalbaar Nederland.

Tot vanmiddag! 
13.45u Museumplein Amsterdam",1
"Zeer teleurstellende uitslag. Dit moet alsnog geregeld worden. Nederlanders hebben recht op beleid dat ervoor zorgt dat minder mensen ons land in komen. Ik ben vastberaden om dat alsnog voor elkaar te krijgen. En ik reken erop dat alle partijen doen wat nodig is.

Gelukkig is het wetsvoorstel tweestatusstelsel wel aangenomen. Nu kunnen we bv beperken welke mensen kunnen nareizen. Daarvoor stellen we eisen aan hun inkomen, huisvesting en voeren een wachttijd in. Belangrijke stappen. Maar we zijn er nog niet, dus we gaan door.",0
"Jammer dat niet is doorgevraagd op Plan B die maandag al klaar lag, terwijl dinsdag pas over Plan A gestemd zou worden. Wij hebben er kamervragen over gesteld:  https://t.co/NZTwrqVN6X https://t.co/sJw3iBTK2t",0
O wat verdrietig. Ze had nog zoveel leven in zich. Veel sterkte gewenst aan familie en vrienden @GreetPrins ❤️ https://t.co/XceHkrGKpA,1
"Nederlandse jongeren hebben grote moeite een woning te vinden. Dan is het niet eerlijk dat statushouders voorrang krijgen op sociale huurwoningen.

Samen met Groep Markuszower/DNA en JA21 wil ik daar een einde aan maken met dit wetsvoorstel.

Lees meer 👉🏻 https://t.co/hBKXLsZvR2 https://t.co/FCEwQU7LfX",1
"Heel veel respect voor de mannen en vrouwen van de brandweer, en die van andere betrokken hulpdiensten, die met man en macht proberen de branden in onze mooie natuurgebieden te stoppen. 

Wij kunnen ze helpen door alert te blijven en alles te doen om meer branden te voorkomen. Check: https://t.co/jjua4Mew3H",1
"De gevolgen van de oorlog in het Midden-Oosten zijn voor iedereen voelbaar. 

Tegelijkertijd is nog veel onzeker. Olieprijzen fluctueren enorm. De situatie kan de komende maanden nog een stuk donkerder worden.

Daarom is het energiepakket verstandig. 

Het helpt gericht mensen die dit het meest nodig hebben. Zoals mensen die met de auto naar hun werk moeten, en ondernemers met bestelbusjes en vrachtwagens.

Ook draagt het bij aan de leveringszekerheid van energie. Het vergroot de onafhankelijkheid van olie en gas uit het Midden-Oosten.

Dit pakket is financieel goed onderbouwd. Het geeft ruimte om indien nodig nog steviger in te grijpen. En dat is verstandig.",1
"Terug van paar dagen Zeeuws-Vlaanderen waar ik samen met mama en zoon heb genoten van rust, ruimte en natuur. Elke dag hazen en fazanten op de akker voor ons huisje. En natuurlijk ff bij m’n grote vriend Stefan geweest die woont en werkt op zorgboerderij De Stelle in Ouwerkerk💚 https://t.co/lAzSwspkhd",1
Onacceptabel hoe het aankomende Kabinet mensen met lage- en middeninkomens keihard pakt in de portemonnee. Ze maken Nederland onrechtvaardiger. Aankomend premier Jetten zorgt met deze plannen voor meer armoede. Dit mag niet gebeuren! https://t.co/QwXxxiEAYI,0
"Het illegaal enteren van de Flotilla door het Israëlische bezettingsleger is een schending van het internationaal recht en een misdaad! 

NL moet sancties treffen tegen Israël en zich inzetten voor de veiligheid van de opvarenden! Wij stellen spoedvragen! https://t.co/eqpeYQbXLN",0
"Wat een dag. Straks staan we op het bordes voor de beëdiging.

Trots om dit samen te mogen doen. In een nieuwe fase, met een grote verantwoordelijkheid en vooral een gezamenlijke belofte om ons in te zetten voor iedereen in Nederland. 

Door niet te blijven hangen in wat er misgaat, maar door te bouwen aan wat beter kan. Dat vraagt om lef én samenwerking.

Op naar het bordes!",1
"Wij danken onze vrijheid aan al die mensen die voor ons hebben gevochten en zelfs hun leven hebben gegeven. Daarom vind ik het zo belangrijk om op 4 en 5 mei stil te staan bij hen, onze gedeelde geschiedenis en de les dat we onze vrijheid moeten koesteren en beschermen. https://t.co/SKZqwZiqvQ",1
"Het lijkt erop dat, dankzij uitermate goed werk van de Amerikaanse veiligheidsdiensten, een groot drama is voorkomen. Gelukkig zijn President Trump, First Lady Melania en andere aanwezigen veilig.

https://t.co/Lb5c2razkC",1
"Heel veel sterkte gewenst aan Harry Bevers en zijn gezin in deze moeilijke tijd. De collega's van D66 zijn in gedachten bij jullie en hopen op een spoedig en volledig herstel.

Met Harry werk ik in de Kamer intensief samen om met een initiatiefwet de IVF-zorg in Nederland en de kennis over erfelijke ziekten te verbeteren. Ik hoop hem in de nabije toekomst weer in goede gezondheid terug te zien in de Kamer.
https://t.co/tkwoIkywqu",1
Kijk vanaf 13.45 uur de persconferentie van vicepremier Dilan Yeşilgöz-Zegerius na de ministerraad van 24 april 2026 live op X of via mijn YouTube-kanaal: https://t.co/CsUYBu5xmf https://t.co/wT31pT7uno,1
https://t.co/S8ahckScqu,1
Israël gaat gebukt onder terreur en voortdurende dreiging. En onze Joodse gemeenschap krijgt steeds vaker te maken met antisemitisme en voelt zich niet meer veilig. Juist nu is onze solidariteit hard nodig. Met @vapni aanwezig op de solidariteitsavond voor Israël! @cvisrael dank! https://t.co/HcBkzVIwB8,1
"Precies nu het leven voor gewone mensen steeds duurder wordt, krijgt dit minderheidskabinet het voor elkaar om twee plannen te presenteren die de huren hoger maken en de zorg duurder.

Logisch toch? 😅

https://t.co/8UAfM0lH1x",0
